x,y,geo_code,distance,vertical_der,analytic_signal,mag_field,Target
604112.5,6180511.927,10,3324.15,-0.0855006,0.120202,-30.6982,0
604212.5,6180511.927,14,3337.66,-0.0722151,0.0828062,-28.2238,0
604312.5,6180511.927,14,3280.24,-0.0886349,0.149401,-28.0787,0
604412.5,6180511.927,14,3201.56,-0.13911,0.203224,-32.0707,0
604512.5,6180511.927,10,3124.1,-0.232296,0.258891,-39.9294,0
604612.5,6180511.927,10,3047.95,-0.295543,0.30725,-46.1847,0
604712.5,6180511.927,10,2973.21,-0.353456,0.363485,-50.1636,0
604812.5,6180511.927,10,2900,-0.377641,0.386014,-52.1563,0
604912.5,6180511.927,12,2828.43,-0.398739,0.408721,-52.605,0
605012.5,6180511.927,12,2758.62,-0.355281,0.370652,-48.5932,0
605112.5,6180511.927,12,2690.72,-0.300595,0.331021,-42.1135,0
605212.5,6180511.927,10,2624.88,-0.212742,0.256159,-34.169,0
605312.5,6180511.927,10,2561.25,-0.178406,0.20961,-30.6586,0
605412.5,6180511.927,10,2500,-0.189867,0.2089,-31.5164,0
605512.5,6180511.927,10,2441.31,-0.197866,0.218444,-32.5788,0
605612.5,6180511.927,10,2385.37,-0.231033,0.265774,-32.7437,0
605712.5,6180511.927,10,2332.38,-0.162173,0.242322,-27.3132,0
605812.5,6180511.927,10,2282.54,-0.0834891,0.206701,-21.401,0
605912.5,6180511.927,12,2236.07,-0.00597473,0.211774,-18.379,0
606012.5,6180511.927,12,2193.17,0.020222,0.206523,-21.9685,0
606112.5,6180511.927,12,2154.07,-0.0727765,0.203259,-34.2152,0
606212.5,6180511.927,10,2118.96,-0.138596,0.201592,-45.868,0
606312.5,6180511.927,12,2088.06,-0.176581,0.213229,-54.2876,0
606412.5,6180511.927,12,2061.55,-0.214941,0.2381,-59.4476,0
606512.5,6180511.927,10,2039.61,-0.222613,0.249063,-59.6191,0
606612.5,6180511.927,10,2022.37,-0.207082,0.249808,-55.8712,0
606712.5,6180511.927,10,2009.98,-0.180651,0.2403,-50.4605,0
606812.5,6180511.927,10,2002.5,-0.18313,0.242074,-46.4949,0
606912.5,6180511.927,14,2000,-0.192206,0.240939,-44.0601,0
607012.5,6180511.927,14,2002.5,-0.232998,0.264639,-44.4164,0
607112.5,6180511.927,14,2009.98,-0.323798,0.342126,-47.0491,0
607212.5,6180511.927,14,2022.37,-0.441028,0.468291,-46.1452,0
607312.5,6180511.927,14,2039.61,-0.498287,0.597082,-32.0245,0
607412.5,6180511.927,14,2061.55,-0.534775,0.790694,0.604713,0
607512.5,6180511.927,14,2088.06,-0.274819,1.0442,66.523,0
607612.5,6180511.927,14,2118.96,0.449522,1.13087,159.594,0
607712.5,6180511.927,14,2154.07,0.553233,0.932754,215.469,0
607812.5,6180511.927,12,2193.17,0.530638,0.827522,244.271,0
603412.5,6180411.86,10,3214.03,-0.0757704,0.10193,-25.4591,0
603512.5,6180411.86,10,3206.24,-0.116843,0.1356,-27.4584,0
603612.5,6180411.86,10,3201.56,-0.075864,0.0957562,-26.6006,0
603712.5,6180411.86,10,3200,-0.0397966,0.0785131,-26.5214,0
603812.5,6180411.86,10,3201.56,-0.119369,0.149863,-32.2687,0
603912.5,6180411.86,10,3206.24,-0.162781,0.176295,-35.2314,0
604012.5,6180411.86,10,3214.03,-0.0773141,0.122437,-30.2693,0
604112.5,6180411.86,10,3224.9,0.00852706,0.0113504,-26.3697,0
604212.5,6180411.86,14,3238.83,-0.1291,0.157987,-31.754,0
604312.5,6180411.86,14,3220.25,-0.216297,0.232778,-36.8612,0
604412.5,6180411.86,10,3140.06,-0.260785,0.269748,-39.5995,0
604512.5,6180411.86,10,3061.05,-0.291613,0.303524,-40.9852,0
604612.5,6180411.86,10,2983.29,-0.295589,0.339181,-39.329,0
604712.5,6180411.86,10,2906.89,-0.291613,0.402583,-35.8582,0
604812.5,6180411.86,12,2831.96,-0.329364,0.467404,-37.0525,0
604912.5,6180411.86,12,2758.62,-0.409405,0.506787,-41.3745,0
